place,lat,lon
Aachen,50.45,6.06
Aalen,48.51,10.06
Aix-la Chapelle/Aachen,50.45,6.06
Aller,52.56,9.12
Amberg,49.26,11.52
Amper,48.29,11.55
Ansbach,49.28,10.34
Arnsberg,51.24,8.05
Aschaffenburg,49.58,9.06
Aschersleben,51.45,11.29
Augsburg,48.25,20.2
Aurich,53.28,7.28
Bad Kissingen,50.11,10.04
Baden-Baden,48.44,8.13
Baden-Württemberg,48.2,8.4
Bamberg,49.54,10.54
Bautzen,51.1,14.26
Bavaria/Bayern,48.5,12
Bayern,48.5,12
Bayreuth,49.56,11.35
Bergisch Gladbach,50.59,7.08
Berlin,52.3,13.25
Bernburg,51.47,11.44
Biberach,48.05,9.47
Beilefeld,52.01,8.33
Black Forest/Schwarzwald,48.3,8.2
Bochum,51.28,7.13
Bohemian Forest/Bohmerwald,49.08,13.14
Bohmerwald,49.08,13.14
Bonn,50.46,7.06
Borkum,53.34,6.4
Bottrop,51.31,6.58
Brandenburg/Neubrandenburg,53.33,13.15
Brandenburg,52.25,12.33
Braunschweig,52.15,10.31
Bremen,53.04,8.47
Bremerhaven,53.33,8.36
Brocken,51.47,10.37
Brunswick/Braunschweig,52.15,10.31
Buxtehude,53.28,9.39
Celle,52.37,10.04
Chemnitz,50.51,12.54
Chiemsee,47.53,12.28
Coburg,50.15,10.58
Cologne/Koln,50.56,6.57
Constance/Konstanz,47.4,9.1
Cottbus,51.45,14.2
Crailsheim,49.08,10.05
Cuxhaven,53.51,8.41
Dachau,48.15,11.26
Darmstadt,49.51,8.39
Deggendorf,48.5,12.57
Delmenhorst,53.37,73.47
Dessau,51.51,12.14
Detmold,51.56,8.52
Deutshce Bucht,54.15,8
Donauworth,48.43,10.47
Dortmund,51.3,7.28
Dresden,51.03,13.44
Duisburg,51.26,6.45
Duren,50.48,6.29
Dusseldorf,51.14,6.47
Eberswalde-Finow,52.5,13.49
Eder,51.12,9.28
Eifel,50.15,6.5
Eisenach,50.58,10.19
Elde,53.07,11.15
Elmshorn,53.43,9.4
Emden,53.21,7.12
Ems,53.2,7.12
Erfurt,50.58,11.02
Erlangen,49.36,11
Erzgebirge,50.27,12.55
Essen,51.28,7.02
Esslingen,48.44,9.18
Fehmarn,54.27,11.07
Flensburg,54.47,9.27
Fohr,54.43,8.3
Forst,51.45,14.37
"Frankfurt, Brandenburg",52.2,14.32
"Frankfurt, Hessen",50.07,8.41
Frankische Alb,49.1,11.23
Freiburg,47.59,7.51
Freising,48.24,11.45
Friedrichshafen,47.39,9.3
Fulda,50.32,9.4
Fulda,51.25,9.39
Furstenwalde,52.22,14.03
Furth,49.28,10.59
Garmisch-Patenkirchen,47.3,11.06
Geesthacht,53.26,10.22
Gelsenkirchen,51.32,7.06
Gera,50.53,12.04
Giessen,50.34,8.41
Goppingen,48.42,9.39
Gorlitz,51.09,14.58
Gosalr,51.54,10.25
Gotha,50.56,10.42
Gottingen,51.31,9.55
Greifswald,54.05,13.23
Greiz,50.59,12.1
Grosser Arber,49.06,13.08
Gustrow,53.47,12.1
Gutersloh,51.54,8.24
Hagen,51.21,7.27
Halberstadt,51.54,11.03
Halle,51.3,11.56
Hamburg,53.33,9.59
Hameln,52.06,9.21
Hamlin/Hamein,52.06,9.21
Hamm,51.4,7.5
Hanau,50.07,8.56
Hannover,52.22,9.46
Hanover/Hannover,52.22,9.46
Harz,51.38,10.44
Havel,52.5,12.03
Heidelberg,49.24,8.42
Heilbronn,49.09,9.13
Helgoland,54.1,7.53
Heligoland/Helgoland,54.1,7.53
Heligoland B/Deutsche Bucht,54.15,8
Herford,52.07,8.39
Herne,51.32,7.14
Hesse/Hessen,50.3,9
Hessen,50.3,9
Hildesheim,52.09,9.56
Hof,50.19,11.55
Hoher Rhon/Rhon,50.24,9.58
Hoxter,51.46,9.22
Hoyerswerda,51.26,14.14
Hunsruck,49.56,7.27
Idar-Oberstein,49.43,7.16
Iller,48.23,9.58
Ingolstadt,48.46,11.26
Isar,48.48,12.57
Itzehoe,53.55,9.31
Jena,50.54,11.35
Jura/Schwabische Alb,48.2,9.3
kaiserslautern,49.26,7.45
Karl-Marx-stadt/Chemnitz,50.51,12.5
Karlsruhe,49,8.23
Kassel,51.18,9.26
Kempten,47.45,10.17
Kiel,54.19,10.08
Kiel Canal/Nord-Ostsee-Kanal,54.12,9.32
Kieler Bucht,54.35,10.25
Koblenz,50.21,7.36
Koln,50.56,6.57
Konstanz,47.4,9.1
Krefeld,51.2,6.33
Lahn,50.19,7.37
Landshut,48.34,12.08
Lauchhammer,51.29,13.47
Lech,48.43,10.56
Leer,53.13,7.26
Leine,52.43,9.36
Leipzig,51.18,12.22
Limburg,50.22,8.04
Lingen,52.31,7.19
Lippe,51.39,6.36
Lower Saxony=Niedersachsen,52.5,9
Lubeck,53.52,10.4
Luckenwalde,52.05,13.1
Ludwigsburg,48.53,9.11
Ludwigshafen,49.29,8.26
Luneburg,53.15,10.24
Luneburg Heath=Luneburger Heide,53.1,10.12
Luneburger Heide,53.1,10.12
Lutherssstadt Wittenberg,51.53,12.39
Magdeburg,52.07,11.38
Main,50,8.18
Mainz,50.01,8.14
MannheiM,49.29,8.29
Marburg,50.47,08.46W
Mecklenburg-Vorpommern,53.33,11.4
Meckelenburger Bucht,54.2,11.4
Meissen,51.09,13.29
Memmingen,47.58,10.1
Merseburg,51.22,11.59
Minden,52.17,0
Monchegladbach,51.11,6.27
Muhlhausen,51.12,10.27
Mulde,51.53,12.15
Mulheim,51.52,6.54
Munchen,48.08,11.34
Munchen-Gladbach/Monchengladbach,51.11,6.27
Muden,51.25,9.38
Munich/Munchen,48.08,11.31
Munster,51.58,7.37
Muritz,53.25,12.42
Naab,49.01,12.2
Naumburg,51.09,11.47
Neckar,49.27,8.29
Neumunster,54.04,9.58
Neunkirchen,49.2,7.09
Neuruppin,52.55,12.48
Neustrelitz,53.21,13.04
Niedersachsen,52.5,9
Nienburg,52.39,9.13
Nord-Ostsee-Kanal,54.12,9.32
Norderney,53.42,7.09
Norderstedt,53.42,10.01
Nordfriesische Insein,54.4,8.2
Nordhausen,51.3,10.47
Nordrhein-Westfalen,51.45,7.3
North Frisian Is./Nordfriesische Inseln,54.4,8.2
North Rhine Westphalia/Nordrhein-Westfalen,51.45,7.3
Nuremberg/Nurnberg,49.27,11.03
Nurnberg,49.27,11.03
Oberhausen,51.28,6.51
Offenbach,50.06,8.44
Offenburg,48.28,7.56
Oldenburg,53.09,8.13
Oranienburg,52.45,13.14
Ore Mts/Erzgebirge,50.27,12.55
Osnabruck,52.17,8.03
Ostfriesische Insein,53.42,7
Paderborn,51.42,8.45
Parchim,53.26,11.52
Passau,48.34,13.28
Peine,52.19,10.14
Pforzheim,48.52,8.41
Pirmasens,49.12,7.36
Plauen,50.3,12.08
Plockenstein,48.46,13.51
Potsdam,52.25,13.04
Puttgarden,54.3,11.1
Rathenow,52.37,12.19
Ravensburg,47.46,9.36
Recklinghausen,51..7,7.12
Regensburg,49.01,12.06
Reichenbach,50.37,12.17
Remscheid,51.11,7.12
Rendsburg,54.17,9.39
Reutlingen,48.29,9.12
Rhein-Main-Donau-Kanal,52.17,7.26
Rheine,52.17,7.26
Rheinland-Pfalz,50,7
Rhineland-Palatinate=Rheinland-Pfalz,50,7
Rhon,50.24,9.58
Riesa,51.17,13.17
Rostock,54.5,12.8
Rugen,54.22,13.24
Saale,51.56,11.54
Sachsen,50.55,13.1
Salzgitter,52.9,10.19
Salzwedel,52.52,11.1
Sassnitz,54.29,13.39
Sauerland,51.12,7.59
Saxony/Sachsen,50.55,13.1
Scjhleswig,54.31,9.34
Schwabische Alb,48.2,9.3
Schwedt,53.3,14.16
Schweinfurt,50.3,10.14
Schwerin,53.36,11.22
Speyer,49.29,8.25
Stade,53.35,9.29
Trier,49.45,6.38
Tubingen,48.31,9.4
Tuttlingen,47.58,8.48
Uelzen,52.57,10.32
Ulm,48.23,9.58
Villingen-Schwenningen,48.3,8.26
Vgogelsberg,50.31,9.12
Wangerooge,53.47,7.54
Wasserkuppe,50.29,9.55
Weiden,49.41,12.1
Weimar,50.58,11.19
Werra,51.24,9.39
Weser,53.36,8.28
Wetzlar,50.32,8.31
Wismar,53.54,11.29
Wittenberge,53,11.45
Worms,49.37,8.21
Wuppertal,51.16,7.12
Wurzburg,49.46,9.55
Thüringen,51.011,10.8453
Saarland,49.3964,7.023
Schleswig-Holstein,54.5239,9.5632
Sachsen-Anhalt,51.9503,11.6923