"item","name","coord","lat","lon","Wikidata.ID"
"http://www.wikidata.org/entity/Q1452027","Q1452027","Point(6.047006 50.784803)",50.784803,6.047006,"Q1452027"
"http://www.wikidata.org/entity/Q1452032","Q1452032","Point(7.40041 51.49364)",51.49364,7.40041,"Q1452032"
"http://www.wikidata.org/entity/Q1480391","Q1480391","Point(7.205669 50.748944)",50.748944,7.205669,"Q1480391"
"http://www.wikidata.org/entity/Q1451981","Q1451981","Point(7.20275 50.74924)",50.74924,7.20275,"Q1451981"
"http://www.wikidata.org/entity/Q1452038","Q1452038","Point(6.88134 51.48588)",51.48588,6.88134,"Q1452038"
"http://www.wikidata.org/entity/Q697111","Q697111","Point(6.411944444 50.905)",50.905,6.4119444444444,"Q697111"
"http://www.wikidata.org/entity/Q896952","Q896952","Point(7.21722 51.4892)",51.4892,7.21722,"Q896952"
"http://www.wikidata.org/entity/Q1205727","Q1205727","Point(7.13683 50.703982)",50.703982,7.13683,"Q1205727"
"http://www.wikidata.org/entity/Q1205596","Q1205596","Point(6.78728 51.204816)",51.20477778,6.78738889,"Q1205596"
"http://www.wikidata.org/entity/Q19962204","Q19962204","Point(6.050211111 50.777443055)",50.777443055556,6.0502111111111,"Q19962204"
"http://www.wikidata.org/entity/Q1804968","Q1804968","Point(7.45875 51.4899)",51.4899,7.45875,"Q1804968"
"http://www.wikidata.org/entity/Q1813719","Q1813719","Point(7.461954 51.491522)",51.491522,7.461954,"Q1813719"
"http://www.wikidata.org/entity/Q30290119","Q30290119","Point(6.786487 51.205343)",51.205343,6.786487,"Q30290119"
"http://www.wikidata.org/entity/Q543646","Institut Max Planck de radioastronomia","Point(7.06967 50.7302)",50.7302,7.06967,"Q543646"
"http://www.wikidata.org/entity/Q1912101","Q1912101","Point(6.88689 51.4178)",51.4178,6.88689,"Q1912101"
"http://www.wikidata.org/entity/Q895960","Q895960","Point(6.886389 51.417778)",51.417778,6.886389,"Q895960"
"http://www.wikidata.org/entity/Q1791731","Q1791731","Point(6.91665 50.9257)",50.9257,6.91665,"Q1791731"
"http://www.wikidata.org/entity/Q1251781","Q1251781","Point(7.409806 51.489667)",51.489667,7.409806,"Q1251781"
"http://www.wikidata.org/entity/Q1407910","Q1407910","Point(7.59111 51.9681)",51.9681,7.59111,"Q1407910"
"http://www.wikidata.org/entity/Q881977","Q881977","Point(6.813055555 51.239444444)",51.239444444444,6.8130555555556,"Q881977"
"http://www.wikidata.org/entity/Q1119337","Q1119337","Point(6.95417 50.9267)",50.9267,6.95417,"Q1119337"
"http://www.wikidata.org/entity/Q1912085","Q1912085","Point(12.39166667 51.34138889)",51.34138889,12.39166667,"Q1912085"
"http://www.wikidata.org/entity/Q880933","Q880933","Point(6.8594 50.9584)",50.9584,6.8594,"Q880933"
"http://www.wikidata.org/entity/Q1912110","Q1912110","Point(6.91665 50.9257)",50.9257,6.91665,"Q1912110"
"http://www.wikidata.org/entity/Q1110267","Q1110267","Point(6.949201 50.924503)",50.924503,6.949201,"Q1110267"
"http://www.wikidata.org/entity/Q32773","Q32773","Point(6.99944 50.7325)",50.7325,6.99944,"Q32773"
"http://www.wikidata.org/entity/Q1377296","Q1377296","Point(6.90547 50.8341)",50.8341,6.90547,"Q1377296"
"http://www.wikidata.org/entity/Q1380172","Q1380172","Point(7.252948 51.473987)",51.473987,7.252948,"Q1380172"
"http://www.wikidata.org/entity/Q1388301","Q1388301","Point(6.09521389 50.756975)",50.756975,6.09521389,"Q1388301"
"http://www.wikidata.org/entity/Q1391181","Q1391181","Point(8.50315 52.0355)",52.0355,8.50315,"Q1391181"
"http://www.wikidata.org/entity/Q1391246","Q1391246","Point(8.52583 52.0089)",52.0089,8.52583,"Q1391246"
"http://www.wikidata.org/entity/Q1324675","Q1324675","Point(7.45779 51.5063)",51.5063,7.45779,"Q1324675"
"http://www.wikidata.org/entity/Q28739095","Q28739095","Point(8.53459 52.01691)",52.01691,8.53459,"Q28739095"
"http://www.wikidata.org/entity/Q554425","Q554425","Point(7.60809 51.961)",51.961,7.60809,"Q554425"
"http://www.wikidata.org/entity/Q1365807","Q1365807","Point(7.53371 51.7326)",51.7326,7.53371,"Q1365807"
"http://www.wikidata.org/entity/Q1391267","Q1391267","Point(6.7665 50.5619)",50.5619,6.7665,"Q1391267"
"http://www.wikidata.org/entity/Q1428381","Q1428381","Point(6.74299 51.2997)",51.2997,6.74299,"Q1428381"
"http://www.wikidata.org/entity/Q521612","Folkwang University of the Arts","Point(7.00444 51.3875)",51.3875,7.00444,"Q521612"
"http://www.wikidata.org/entity/Q55156","Q55156","Point(7.0121 51.4482)",51.4482,7.0121,"Q55156"
"http://www.wikidata.org/entity/Q1622083","Q1622083","Point(7.18194 50.7806)",50.7806,7.18194,"Q1622083"
"http://www.wikidata.org/entity/Q55021","Hochschule für Musik und Tanz Köln","Point(6.961217 50.947643)",50.947643,6.961217,"Q55021"
"http://www.wikidata.org/entity/Q1622078","Q1622078","Point(7.27169 51.4473)",51.447628,7.270749,"Q1622078"
"http://www.wikidata.org/entity/Q1622191","Q1622191","Point(8.68389 52.1117)",52.1117,8.68389,"Q1622191"
"http://www.wikidata.org/entity/Q1622141","Q1622141","Point(6.869899 51.449591)",51.4064,6.93582,"Q1622141"
"http://www.wikidata.org/entity/Q15818931","Q15818931","Point(6.95585 50.93186)",50.93186,6.95585,"Q15818931"
"http://www.wikidata.org/entity/Q322886","Q322886","Point(6.791361111 51.247388888)",51.247388888889,6.7913611111111,"Q322886"
"http://www.wikidata.org/entity/Q1622183","Q1622183","Point(7.22715 51.4706)",51.446986,7.245998,"Q1622183"
"http://www.wikidata.org/entity/Q1318081","Hochschule Niederrhein","Point(6.57061 51.3167)",51.3167,6.57061,"Q1318081"
"http://www.wikidata.org/entity/Q1391252","Q1391252","Point(6.88125278 50.83158056)",50.83158056,6.88125278,"Q1391252"
"http://www.wikidata.org/entity/Q1505130","Q1505130","Point(7.84033 51.683148)",51.683148,7.84033,"Q1505130"
"http://www.wikidata.org/entity/Q15819802","Q15819802","Point(6.8135045 51.2191041)",51.2191041,6.8135045,"Q15819802"
"http://www.wikidata.org/entity/Q1736344","Q1736344","Point(6.964532 50.953411)",50.953411,6.964532,"Q1736344"
"http://www.wikidata.org/entity/Q827038","Q827038","Point(6.96232 50.934)",50.934,6.96232,"Q827038"
"http://www.wikidata.org/entity/Q662355","Kunstakademie de Düsseldorf","Point(6.77365 51.23054)",51.23054,6.77365,"Q662355"
"http://www.wikidata.org/entity/Q2088268","Q2088268","Point(7.64778 51.9601)",51.9601,7.64778,"Q2088268"
"http://www.wikidata.org/entity/Q1245583","Q1245583","Point(6.9419 50.9799)",50.9799,6.9419,"Q1245583"
"http://www.wikidata.org/entity/Q315238","Hochschule Robert Schumann","Point(6.771944 51.242222)",51.242222,6.771944,"Q315238"
"http://www.wikidata.org/entity/Q1622157","Q1622157","Point(7.11272 50.7207)",50.7207,7.11272,"Q1622157"
"http://www.wikidata.org/entity/Q878170","Q878170","Point(7.92356 49.9533)",49.9533,7.92356,"Q878170"
"http://www.wikidata.org/entity/Q54166","Universitat Tècnica de Colònia","Point(6.95991 50.9407)",50.9407,6.95991,"Q54166"
"http://www.wikidata.org/entity/Q895634","Q895634","Point(8.8668 51.93625)",51.76654,9.36891,"Q895634"
"http://www.wikidata.org/entity/Q30263521","Q30263521","Point(7.213419 51.487843)",51.487843,7.213419,"Q30263521"
"http://www.wikidata.org/entity/Q2565230","Q2565230","Point(7.02806 51.5744)",51.5744,7.02806,"Q2565230"
"http://www.wikidata.org/entity/Q1204536","Biblioteca Nacional d'Alemanya de Medicina","Point(6.916296 50.924567)",50.72675,7.0865277777778,"Q1204536"
"http://www.wikidata.org/entity/Q168426","Universitat de Münster","Point(7.613 51.964)",51.964,7.613,"Q168426"
"http://www.wikidata.org/entity/Q309948","Universitat Ruhr de Bochum","Point(7.261666666 51.443888888)",51.443888888889,7.2616666666667,"Q309948"
"http://www.wikidata.org/entity/Q317032","Universitat de Düsseldorf","Point(6.794169444 51.1903)",51.1903,6.7941694444444,"Q317032"
"http://www.wikidata.org/entity/Q696757","Q696757","Point(7.006111 51.463889)",51.463889,7.006111,"Q696757"
"http://www.wikidata.org/entity/Q504723","Q504723","Point(8.02833 50.9064)",50.9064,8.02833,"Q504723"
"http://www.wikidata.org/entity/Q24382","Universitat de Bielefeld","Point(8.49019 52.03764)",52.03764,8.49019,"Q24382"
"http://www.wikidata.org/entity/Q885105","Q885105","Point(7.17028 51.2653)",51.2653,7.17028,"Q885105"
"http://www.wikidata.org/entity/Q315229","Escola Superior d'Esports d'Alemanya","Point(6.86934 50.9367)",50.9367,6.86934,"Q315229"
"http://www.wikidata.org/entity/Q687017","Universitat a Distància de Hagen","Point(7.49527778 51.37722222)",51.37722222,7.49527778,"Q687017"
"http://www.wikidata.org/entity/Q2088271","Q2088271","Point(7.17827 50.7741)",50.7741,7.17827,"Q2088271"
"http://www.wikidata.org/entity/Q273263","Universitat Tècnica de Renània-Westfàlia a Aquisgrà","Point(6.078055555 50.777777777)",50.777777777778,6.0780555555556,"Q273263"
"http://www.wikidata.org/entity/Q883284","Q883284","Point(8.75494 51.7161)",51.7161,8.75494,"Q883284"
"http://www.wikidata.org/entity/Q152171","Universitat de Bonn","Point(7.102222222 50.733888888)",50.733888888889,7.1022222222222,"Q152171"
"http://www.wikidata.org/entity/Q54096","Universitat de Colònia","Point(6.928611111 50.928055555)",50.928055555556,6.9286111111111,"Q54096"
"http://www.wikidata.org/entity/Q679134","Q679134","Point(8.772222222 51.708055555)",51.708055555556,8.7722222222222,"Q679134"
"http://www.wikidata.org/entity/Q314305","Q314305","Point(7.35729 51.45227)",51.45227,7.35729,"Q314305"
"http://www.wikidata.org/entity/Q447953","Universitat de Wuppertal","Point(7.14944 51.2453)",51.2453,7.14944,"Q447953"
"http://www.wikidata.org/entity/Q1451983","Q1451983","Point(7.75219 49.4299)",49.4299,7.75219,"Q1451983"
"http://www.wikidata.org/entity/Q1452034","Q1452034","Point(7.75219 49.4299)",49.4299,7.75219,"Q1452034"
"http://www.wikidata.org/entity/Q878029","Q878029","Point(8.26972 50.0061)",50.0061,8.26972,"Q878029"
"http://www.wikidata.org/entity/Q30279546","Q30279546","Point(7.7689951 49.4432174)",49.4432174,7.7689951,"Q30279546"
"http://www.wikidata.org/entity/Q832808","Q832808","Point(8.24306 49.9936)",49.9936,8.24306,"Q832808"
"http://www.wikidata.org/entity/Q876629","Q876629","Point(8.229722 49.989167)",49.989167,8.229722,"Q876629"
"http://www.wikidata.org/entity/Q1391198","Q1391198","Point(7.76389 49.4517)",49.4517,7.76389,"Q1391198"
"http://www.wikidata.org/entity/Q1622151","Q1622151","Point(7.82575 50.6613)",50.6613,7.82575,"Q1622151"
"http://www.wikidata.org/entity/Q896546","Q896546","Point(6.62944 49.7681)",49.7681,6.62944,"Q896546"
"http://www.wikidata.org/entity/Q1622117","Q1622117","Point(7.56956972 50.33604)",50.33604,7.56956972,"Q1622117"
"http://www.wikidata.org/entity/Q459724","Q459724","Point(8.2730183 50.0046297)",49.998348236084,8.2694578170776,"Q459724"
"http://www.wikidata.org/entity/Q1391239","Q1391239","Point(8.34433 49.6334)",49.6334,8.34433,"Q1391239"
"http://www.wikidata.org/entity/Q1622125","Q1622125","Point(8.44600139 49.48054889)",49.48054889,8.44600139,"Q1622125"
"http://www.wikidata.org/entity/Q872180","Q872180","Point(8.25329 49.99717)",49.99717,8.25329,"Q872180"
"http://www.wikidata.org/entity/Q1792452","Q1792452","Point(8.25161 49.9985)",49.9985,8.25161,"Q1792452"
"http://www.wikidata.org/entity/Q1622203","Q1622203","Point(8.23666667 49.99333333)",49.99333333,8.23666667,"Q1622203"
"http://www.wikidata.org/entity/Q678965","Q678965","Point(7.75306 49.4239)",49.4239,7.75306,"Q678965"
"http://www.wikidata.org/entity/Q161982","Universitat de Magúncia Johannes Gutenberg","Point(8.241666666 49.993055555)",49.993055555556,8.2416666666667,"Q161982"
"http://www.wikidata.org/entity/Q1619104","Q1619104","Point(7.6276014 50.4015241)",50.4015241,7.6276014,"Q1619104"
"http://www.wikidata.org/entity/Q448590","Q448590","Point(7.5592489 50.3632638)",49.204444,8.108611,"Q448590"
"http://www.wikidata.org/entity/Q22963","Q22963","Point(8.41630833 49.31641389)",49.31641389,8.41630833,"Q22963"
"http://www.wikidata.org/entity/Q702486","Universitat de Trèveris","Point(6.687777777 49.7475)",49.7475,6.6877777777778,"Q702486"
"http://www.wikidata.org/entity/Q316595","Q316595","Point(7.61350639 50.40032528)",50.40032528,7.61350639,"Q316595"
"http://www.wikidata.org/entity/Q1452048","Q1452048","Point(7.047916 49.258171)",49.258171,7.047916,"Q1452048"
"http://www.wikidata.org/entity/Q879857","Q879857","Point(6.899166666 49.530277777)",49.530277777778,6.8991666666667,"Q879857"
"http://www.wikidata.org/entity/Q1565090","Q1565090","Point(7.04 49.2567)",49.256834,7.040171,"Q1565090"
"http://www.wikidata.org/entity/Q881238","Q881238","Point(7.04629 49.25752)",49.25752,7.04629,"Q881238"
"http://www.wikidata.org/entity/Q565400","Q565400","Point(7.045555555 49.257777777)",49.257777777778,7.0455555555556,"Q565400"
"http://www.wikidata.org/entity/Q1622149","Q1622149","Point(6.98519 49.2327)",49.2327,6.98519,"Q1622149"
"http://www.wikidata.org/entity/Q1487242","Q1487242","Point(6.99783 49.2303)",49.2303,6.99783,"Q1487242"
"http://www.wikidata.org/entity/Q1391274","Q1391274","Point(7.0380585 49.3440644)",49.3440644,7.0380585,"Q1391274"
"http://www.wikidata.org/entity/Q700758","Universitat del Sarre","Point(7.04166667 49.25555556)",49.25555556,7.04166667,"Q700758"
"http://www.wikidata.org/entity/Q1452000","Q1452000","Point(12.9243 50.816)",50.816,12.9243,"Q1452000"
"http://www.wikidata.org/entity/Q1451998","Q1451998","Point(13.7814 51.0298)",51.0298,13.7814,"Q1451998"
"http://www.wikidata.org/entity/Q1452015","Q1452015","Point(13.78068 51.02912)",51.02912,13.78068,"Q1452015"
"http://www.wikidata.org/entity/Q1452041","Q1452041","Point(13.736 51.0272)",51.0272,13.736,"Q1452041"
"http://www.wikidata.org/entity/Q1452043","Q1452043","Point(13.7805 51.03)",51.03,13.7805,"Q1452043"
"http://www.wikidata.org/entity/Q1452042","Q1452042","Point(12.9252 50.8134)",50.8134,12.9252,"Q1452042"
"http://www.wikidata.org/entity/Q1313270","Q1313270","Point(12.395507 51.3188727)",51.3188727,12.395507,"Q1313270"
"http://www.wikidata.org/entity/Q883545","Q883545","Point(13.9497 51.0636)",51.0636,13.9497,"Q883545"
"http://www.wikidata.org/entity/Q880999","Q880999","Point(12.4288 51.3521)",51.3521,12.4288,"Q880999"
"http://www.wikidata.org/entity/Q1470119","Q1470119","Point(12.38678455 51.33547823)",51.33547823,12.38678455,"Q1470119"
"http://www.wikidata.org/entity/Q835883","Q835883","Point(13.7244 51.0261)",51.0261,13.7244,"Q835883"
"http://www.wikidata.org/entity/Q1813774","Q1813774","Point(13.74828 51.0313)",51.0313,13.74828,"Q1813774"
"http://www.wikidata.org/entity/Q1813759","Q1813759","Point(12.4335 51.3526)",51.351767,12.431812,"Q1813759"
"http://www.wikidata.org/entity/Q1739877","Q1739877","Point(13.724106 51.041797)",51.041797,13.724106,"Q1739877"
"http://www.wikidata.org/entity/Q1813740","Q1813740","Point(12.47194 51.34663)",51.34663,12.47194,"Q1813740"
"http://www.wikidata.org/entity/Q1607075","Q1607075","Point(12.433714 51.352044)",51.352044,12.433714,"Q1607075"
"http://www.wikidata.org/entity/Q257792","Q257792","Point(12.3887 51.3347)",51.3347,12.3887,"Q257792"
"http://www.wikidata.org/entity/Q1912059","Q1912059","Point(13.7186 51.0264)",51.0264,13.7186,"Q1912059"
"http://www.wikidata.org/entity/Q682926","Institut Max Planck d'Antropologia Evolutiva","Point(12.394444444 51.320555555)",51.320555555556,12.394444444444,"Q682926"
"http://www.wikidata.org/entity/Q317361","Q317361","Point(13.7846 51.0586)",51.0586,13.7846,"Q317361"
"http://www.wikidata.org/entity/Q1912086","Q1912086","Point(13.716944 51.026667)",51.026667,13.716944,"Q1912086"
"http://www.wikidata.org/entity/Q1622222","Q1622222","Point(13.87443 51.00992)",51.00992,13.87443,"Q1622222"
"http://www.wikidata.org/entity/Q1622216","Q1622216","Point(12.3725 51.3142)",51.3142,12.3725,"Q1622216"
"http://www.wikidata.org/entity/Q1380226","Q1380226","Point(13.76067694 51.05220611)",51.05220611,13.76067694,"Q1380226"
"http://www.wikidata.org/entity/Q1391187","Q1391187","Point(13.788 51.0273)",51.0273,13.788,"Q1391187"
"http://www.wikidata.org/entity/Q464752","Q464752","Point(13.74244444 51.05284167)",51.05284167,13.74244444,"Q464752"
"http://www.wikidata.org/entity/Q468181","Escola de Música Carl Maria von Weber","Point(13.724863 51.054224)",51.054224,13.724863,"Q468181"
"http://www.wikidata.org/entity/Q1622226","Q1622226","Point(12.376044 51.31285)",51.31285,12.376044,"Q1622226"
"http://www.wikidata.org/entity/Q312578","Conservatori de Leipzig","Point(12.3681 51.3333)",51.3333,12.3681,"Q312578"
"http://www.wikidata.org/entity/Q202952","Q202952","Point(12.970889 50.988149)",50.988149,12.970889,"Q202952"
"http://www.wikidata.org/entity/Q1380217","Q1380217","Point(13.7993 51.0575)",51.0575,13.7993,"Q1380217"
"http://www.wikidata.org/entity/Q2048456","Q2048456","Point(13.771 51.029)",51.029,13.771,"Q2048456"
"http://www.wikidata.org/entity/Q1509323","Q1509323","Point(14.9612354 51.3596955)",51.3596955,14.9612354,"Q1509323"
"http://www.wikidata.org/entity/Q154804","Universitat de Leipzig","Point(12.378727777 51.3387)",51.3387,12.378727777778,"Q154804"
"http://www.wikidata.org/entity/Q159630","Q159630","Point(12.9275 50.83917)",50.83917,12.9275,"Q159630"
"http://www.wikidata.org/entity/Q158158","Universitat Tècnica de Dresden","Point(13.726666666 51.028055555)",51.028055555556,13.726666666667,"Q158158"
"http://www.wikidata.org/entity/Q689854","Universitat de Freiberg","Point(13.3408 50.9181)",50.9181,13.3408,"Q689854"
"http://www.wikidata.org/entity/Q1452005","Q1452005","Point(11.65197 52.13924)",52.13924,11.65197,"Q1452005"
"http://www.wikidata.org/entity/Q21997375","Q21997375","Point(11.939472222 51.494555555)",51.494555555556,11.939472222222,"Q21997375"
"http://www.wikidata.org/entity/Q832219","Q832219","Point(11.938046 51.494962)",51.494962,11.938046,"Q832219"
"http://www.wikidata.org/entity/Q1522976","Q1522976","Point(11.9447 51.4958)",51.495883,11.943814,"Q1522976"
"http://www.wikidata.org/entity/Q1354858","Q1354858","Point(11.2752 51.8268)",51.8268,11.2752,"Q1354858"
"http://www.wikidata.org/entity/Q1665047","Q1665047","Point(11.9716 51.4811)",51.4811,11.9716,"Q1665047"
"http://www.wikidata.org/entity/Q1813753","Q1813753","Point(11.6123 52.1016)",52.1016,11.6123,"Q1813753"
"http://www.wikidata.org/entity/Q1636610","Q1636610","Point(11.95952 51.49695)",51.49695,11.95952,"Q1636610"
"http://www.wikidata.org/entity/Q1912088","Q1912088","Point(11.9414 51.4953)",51.4953,11.9414,"Q1912088"
"http://www.wikidata.org/entity/Q1438623","Q1438623","Point(11.65275 52.138638888)",52.138638888889,11.65275,"Q1438623"
"http://www.wikidata.org/entity/Q1622074","Q1622074","Point(11.70917278 51.82358111)",51.82358111,11.70917278,"Q1622074"
"http://www.wikidata.org/entity/Q1011953","Q1011953","Point(11.9549 51.5027)",51.5027,11.9549,"Q1011953"
"http://www.wikidata.org/entity/Q1380222","Q1380222","Point(11.9665376 51.484755)",51.484755,11.9665376,"Q1380222"
"http://www.wikidata.org/entity/Q1622105","Q1622105","Point(10.76024056 51.8266825)",51.8266825,10.76024056,"Q1622105"
"http://www.wikidata.org/entity/Q1622126","Q1622126","Point(11.97799389 51.34458417)",51.34458417,11.97799389,"Q1622126"
"http://www.wikidata.org/entity/Q538520","Q538520","Point(11.9842 52.2117)",52.2117,11.9842,"Q538520"
"http://www.wikidata.org/entity/Q32120","Universitat de Halle","Point(11.96888889 51.48638889)",51.48638889,11.96888889,"Q32120"
"http://www.wikidata.org/entity/Q17321716","Q17321716","Point(10.7006 53.83596)",53.83596,10.7006,"Q17321716"
"http://www.wikidata.org/entity/Q1366559","Q1366559","Point(9.48278 53.9572)",53.9572,9.48278,"Q1366559"
"http://www.wikidata.org/entity/Q323945","Q323945","Point(10.18185 54.32723)",54.32723,10.18185,"Q323945"
"http://www.wikidata.org/entity/Q1290544","Q1290544","Point(10.42638889 53.40444444)",53.40444444,10.42638889,"Q1290544"
"http://www.wikidata.org/entity/Q1438161","Q1438161","Point(10.1967 53.82)",53.82,10.1967,"Q1438161"
"http://www.wikidata.org/entity/Q317179","ZBW - Centre Leibniz d'Informació Econòmica","Point(10.156111 54.338333)",54.338333,10.156111,"Q317179"
"http://www.wikidata.org/entity/Q1493545","Q1493545","Point(10.43388889 54.16)",54.16,10.43388889,"Q1493545"
"http://www.wikidata.org/entity/Q1305888","Escola d'Art Muthesius","Point(10.1414 54.3272)",54.3272,10.1414,"Q1305888"
"http://www.wikidata.org/entity/Q1391201","Q1391201","Point(10.1803 54.3328)",54.3328,10.1803,"Q1391201"
"http://www.wikidata.org/entity/Q976984","Q976984","Point(9.72889 53.5781)",53.5781,9.72889,"Q976984"
"http://www.wikidata.org/entity/Q1391235","Q1391235","Point(9.121706 54.195439)",54.195439,9.121706,"Q1391235"
"http://www.wikidata.org/entity/Q328274","Q328274","Point(9.450555555 54.774861111)",54.774861111111,9.4505555555556,"Q328274"
"http://www.wikidata.org/entity/Q513622","Q513622","Point(10.6814 53.8647)",53.8647,10.6814,"Q513622"
"http://www.wikidata.org/entity/Q1379386","Q1379386","Point(9.67166667 53.75388889)",53.75388889,9.67166667,"Q1379386"
"http://www.wikidata.org/entity/Q1391202","Q1391202","Point(10.69861111 53.83694444)",53.83694444,10.69861111,"Q1391202"
"http://www.wikidata.org/entity/Q156737","Universitat Christian Albrecht de Kiel","Point(10.1225 54.338888888)",54.338888888889,10.1225,"Q156737"
"http://www.wikidata.org/entity/Q2496401","Q2496401","Point(10.705985 53.837445)",54.3300361,10.1431498,"Q2496401"
"http://www.wikidata.org/entity/Q317087","Universitat de Lübeck","Point(10.7058 53.8369)",53.8369,10.7058,"Q317087"
"http://www.wikidata.org/entity/Q1451997","Q1451997","Point(10.9322 50.6836)",50.6836,10.9322,"Q1451997"
"http://www.wikidata.org/entity/Q1451992","Q1451992","Point(11.5678 50.9085)",50.9085,11.5678,"Q1451992"
"http://www.wikidata.org/entity/Q1603236","Q1603236","Point(11.580742 50.934542)",50.934542,11.580742,"Q1603236"
"http://www.wikidata.org/entity/Q1743407","Q1743407","Point(11.5718 50.9083)",50.9083,11.5718,"Q1743407"
"http://www.wikidata.org/entity/Q30281702","Q30281702","Point(11.572788 50.909301)",50.909301,11.572788,"Q30281702"
"http://www.wikidata.org/entity/Q1664946","Q1664946","Point(11.5673 50.9093)",50.9093,11.5673,"Q1664946"
"http://www.wikidata.org/entity/Q1511732","Q1511732","Point(11.578056 50.9175)",50.9175,11.578056,"Q1511732"
"http://www.wikidata.org/entity/Q1356982","Q1356982","Point(11.569021 50.918527)",50.9189,11.5692,"Q1356982"
"http://www.wikidata.org/entity/Q1391189","Q1391189","Point(11.0424 50.9841)",50.9841,11.0424,"Q1391189"
"http://www.wikidata.org/entity/Q2207696","Q2207696","Point(12.07218306 50.88075944)",50.88075944,12.07218306,"Q2207696"
"http://www.wikidata.org/entity/Q536163","Escola Superior de Música Franz Liszt","Point(11.33154 50.97832)",50.97832,11.33154,"Q536163"
"http://www.wikidata.org/entity/Q1391209","Q1391209","Point(10.8098 51.4971)",51.4971,10.8098,"Q1391209"
"http://www.wikidata.org/entity/Q129195","Q129195","Point(10.93889 50.68167)",50.68167,10.93889,"Q129195"
"http://www.wikidata.org/entity/Q702524","Universitat d'Erfurt","Point(11.0108 50.9914)",50.9914,11.0108,"Q702524"
"http://www.wikidata.org/entity/Q154561","Universitat de Jena","Point(11.582222222 50.928333333)",50.928333333333,11.582222222222,"Q154561"
"http://www.wikidata.org/entity/Q573975","Universitat Bauhaus a Weimar","Point(11.3291 50.9745)",50.9745,11.3291,"Q573975"
